Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2016-08-15,6955.34,6941.19,6907.17,6916.02,551501770.0
2016-08-16,6941.19,6893.92,6893.92,6941.19,643222084.0
2016-08-17,6920.76,6859.15,6849.9,6893.92,716287188.0
2016-08-18,6893.35,6868.96,6850.61,6859.15,579272828.0
2016-08-19,6871.48,6858.95,6840.94,6868.96,702478957.0
2016-08-22,6884.61,6828.54,6812.07,6858.95,616674263.0
2016-08-23,6885.39,6868.51,6828.54,6828.54,722218629.0
2016-08-24,6868.51,6835.78,6825.22,6868.51,748048482.0
2016-08-25,6836.22,6816.9,6779.15,6835.78,657666632.0
2016-08-26,6857.29,6838.05,6798.82,6816.9,532511213.0
2016-08-30,6851.83,6820.79,6808.07,6838.05,741100778.0
2016-08-31,6832.89,6781.51,6779.54,6820.79,942416680.0
2016-09-01,6826.22,6745.97,6723.21,6781.51,991756492.0
2016-09-02,6928.25,6894.6,6745.97,6745.97,1183816423.0
2016-09-05,6910.66,6879.42,6867.08,6894.6,556659066.0
2016-09-06,6887.92,6826.05,6818.96,6879.42,687092722.0
2016-09-07,6856.12,6846.58,6814.87,6826.05,938656994.0
2016-09-08,6889.64,6858.7,6819.82,6846.58,807433171.0
2016-09-09,6862.38,6776.95,6762.3,6858.7,792448305.0
2016-09-12,6776.95,6700.9,6654.48,6776.95,887966060.0
2016-09-13,6724.74,6665.63,6665.63,6700.9,864674364.0
2016-09-14,6720.29,6673.31,6665.63,6665.63,695108798.0
2016-09-15,6736.84,6730.3,6654.82,6673.31,770118412.0
2016-09-16,6746.29,6710.28,6692.73,6730.3,1387759003.0
2016-09-19,6813.95,6813.55,6710.28,6710.28,706086135.0
2016-09-20,6869.1,6830.79,6798.02,6813.55,715567591.0
2016-09-21,6879.81,6834.77,6830.47,6830.79,722083031.0
2016-09-22,6937.33,6911.4,6834.77,6834.77,756008548.0
2016-09-23,6920.23,6909.43,6882.62,6911.4,760910971.0
2016-09-26,6909.63,6818.04,6806.47,6909.43,795936951.0
2016-09-27,6865.45,6807.67,6768.86,6818.04,847954248.0
2016-09-28,6878.21,6849.38,6807.67,6807.67,758296193.0
2016-09-29,6941.09,6919.42,6849.38,6849.38,859073229.0
2016-09-30,6919.42,6899.33,6809.51,6919.42,1184141405.0
2016-10-03,6996.43,6983.52,6898.09,6899.33,745408632.0
2016-10-04,7121.93,7074.34,6983.52,6983.52,1451389982.0
2016-10-05,7076.71,7033.25,7024.13,7074.34,970155306.0
2016-10-06,7049.34,6999.96,6999.96,7033.25,821629050.0
2016-10-07,7079.25,7044.39,6999.96,6999.96,1399775224.0
2016-10-10,7104.49,7097.5,7024.08,7044.39,874920431.0
2016-10-11,7129.83,7070.88,7061.36,7097.5,983126963.0
2016-10-12,7079.42,7024.01,7015.76,7070.88,937941595.0
2016-10-13,7024.01,6977.74,6930.04,7024.01,1041613514.0
2016-10-14,7055.18,7013.55,6977.74,6977.74,872168060.0
2016-10-17,7013.55,6947.55,6937.43,7013.55,727720211.0
2016-10-18,7033.02,7000.06,6946.39,6947.55,795838580.0
2016-10-19,7031.2,7021.92,6975.92,7000.06,823094039.0
2016-10-20,7047.55,7026.9,6998.84,7021.92,843635693.0
2016-10-21,7058.39,7020.47,7011.09,7026.9,757845973.0
2016-10-24,7067.34,6986.4,6983.4,7020.47,677603153.0
2016-10-25,7067.23,7017.64,6985.92,6986.4,861001674.0
2016-10-26,7017.64,6958.09,6917.77,7017.64,939836491.0
2016-10-27,7003.93,6986.57,6924.05,6958.09,961782355.0
2016-10-28,7006.43,6996.26,6927.21,6986.57,956617723.0
2016-10-31,6996.26,6954.22,6945.29,6996.26,810764162.0
2016-11-01,6993.79,6917.14,6903.61,6954.22,780871667.0
2016-11-02,6917.14,6845.42,6845.42,6917.14,773904686.0
2016-11-03,6873.21,6790.51,6790.51,6845.42,1083904689.0
2016-11-04,6790.52,6693.26,6676.56,6790.51,875842582.0
2016-11-07,6806.9,6806.9,6693.26,6693.26,862189564.0
2016-11-08,6849.31,6843.13,6795.06,6806.9,832262265.0
2016-11-09,6911.84,6911.84,6696.33,6843.13,1364332164.0
2016-11-10,6997.25,6827.98,6799.05,6911.84,1743939946.0
2016-11-11,6849.04,6730.43,6709.72,6827.98,1111948254.0
2016-11-14,6814.19,6753.18,6730.43,6730.43,1053182147.0
2016-11-15,6820.52,6792.74,6753.18,6753.18,1157847641.0
2016-11-16,6810.53,6749.72,6735.69,6792.74,877277169.0
2016-11-17,6798.75,6794.71,6745.08,6749.72,826252549.0
2016-11-18,6811.62,6775.77,6740.34,6794.71,866734868.0
2016-11-21,6820.9,6777.96,6754.16,6775.77,781736568.0
2016-11-22,6851.37,6819.72,6777.96,6777.96,896754254.0
2016-11-23,6880.74,6817.71,6779.45,6819.72,796849345.0
2016-11-24,6831.23,6829.2,6790.69,6817.71,491417040.0
2016-11-25,6852.14,6840.75,6818.12,6829.2,477578083.0
2016-11-28,6840.96,6799.47,6769.77,6840.75,709674139.0
2016-11-29,6800.91,6772.0,6729.36,6799.47,772231453.0
2016-11-30,6845.74,6783.79,6765.23,6772.0,1331987236.0
2016-12-01,6789.3,6752.93,6688.41,6783.79,966722014.0
